image_name,resnet18,resnet50,resnet101
1.JPEG,0.06161753088235855,0.16127897799015045,0.1207648441195488
2.JPEG,2.3308202798943967e-05,0.10347700864076614,0.0770164281129837
3.JPEG,0.21935565769672394,0.24750426411628723,0.18474923074245453
4.JPEG,0.004706650972366333,0.14126650989055634,0.09126725792884827
5.JPEG,0.057867761701345444,0.0981140062212944,0.06483808904886246
6.JPEG,0.027970291674137115,0.06688428670167923,0.011077976785600185
7.JPEG,0.040861424058675766,0.14801093935966492,0.12643224000930786
8.JPEG,0.16825900971889496,0.14505626261234283,0.09949660301208496
9.JPEG,0.07072828710079193,0.15257541835308075,0.04232341796159744
10.JPEG,0.23115122318267822,0.37446725368499756,0.3168971538543701
11.JPEG,0.02722151018679142,0.060620617121458054,0.032358475029468536
12.JPEG,0.00022657273802906275,0.01920684427022934,0.006246283650398254
13.JPEG,0.1386621743440628,0.2990969717502594,0.10386500507593155
14.JPEG,0.07504988461732864,0.07133819162845612,0.02626815438270569
15.JPEG,0.0018852641806006432,0.12410096079111099,0.0846952274441719
16.JPEG,0.0019711810164153576,0.0031110956333577633,0.01456474605947733
17.JPEG,2.529226890146674e-07,0.05303291231393814,0.045567117631435394
18.JPEG,3.107220618403517e-05,0.0007875864976085722,0.001530623296275735
19.JPEG,0.0677867904305458,0.11165981739759445,0.05743158608675003
20.JPEG,0.360114187002182,0.49145227670669556,0.16995786130428314
21.JPEG,0.09752482920885086,0.14912931621074677,0.06982255727052689
22.JPEG,0.3635600209236145,0.19860096275806427,0.1326541155576706
23.JPEG,0.07747755944728851,0.09964599460363388,0.05323922634124756
24.JPEG,0.30610114336013794,0.14331209659576416,0.13602927327156067
25.JPEG,0.31784528493881226,0.26738259196281433,0.22799690067768097
26.JPEG,0.2221522331237793,0.06724696606397629,0.04022207856178284
27.JPEG,0.08307421207427979,0.09906243532896042,0.15924237668514252
28.JPEG,0.07886317372322083,0.0924818143248558,0.048347458243370056
29.JPEG,0.09153434634208679,0.11924120038747787,0.04772894084453583
30.JPEG,0.5078932046890259,0.2482549399137497,0.19199751317501068
31.JPEG,0.2482682466506958,0.2586662471294403,0.155743807554245
