image_name,100_loss,200_loss,300_loss
1.JPEG,25.25459861755371,20.825729370117188,20.825729370117188
2.JPEG,26.784637451171875,29.045164108276367,29.045164108276367
3.JPEG,21.20883560180664,25.25459861755371,25.25459861755371
4.JPEG,23.38201332092285,24.41965103149414,24.41965103149414
5.JPEG,25.224536895751957,27.421709060668945,27.421709060668945
6.JPEG,26.060352325439453,20.309324264526367,20.309324264526367
7.JPEG,21.135162353515625,22.76108932495117,22.76108932495117
8.JPEG,21.575267791748047,23.85758399963379,23.85758399963379
9.JPEG,25.783042907714844,21.19271469116211,21.19271469116211
10.JPEG,25.868867874145508,24.770492553710938,24.770492553710938
11.JPEG,27.27198028564453,26.153024673461918,26.153024673461918
12.JPEG,22.080299377441406,24.0091609954834,24.0091609954834
13.JPEG,14.790453910827637,28.28006362915039,28.28006362915039
14.JPEG,25.483688354492188,22.798507690429688,22.798507690429688
15.JPEG,24.55045318603516,26.784637451171875,26.784637451171875
16.JPEG,27.446199417114254,25.541961669921875,25.541961669921875
17.JPEG,24.642505645751957,21.878204345703125,21.878204345703125
18.JPEG,28.336685180664062,25.94189453125,25.94189453125
19.JPEG,27.571453094482425,21.20883560180664,21.20883560180664
20.JPEG,28.40180015563965,28.69027328491211,28.69027328491211
21.JPEG,11.725560188293455,23.38201332092285,23.38201332092285
22.JPEG,22.8532657623291,26.12468719482422,26.12468719482422
23.JPEG,22.91088104248047,22.591184616088867,22.591184616088867
24.JPEG,21.93619155883789,25.66889953613281,25.66889953613281
25.JPEG,25.24927520751953,22.086824417114254,22.086824417114254
26.JPEG,26.748828887939453,27.892942428588867,27.892942428588867
27.JPEG,26.8278865814209,19.78586769104004,19.78586769104004
28.JPEG,29.934595108032227,21.080568313598636,21.080568313598636
29.JPEG,23.882022857666016,22.36748504638672,22.36748504638672
30.JPEG,24.702247619628903,25.56940269470215,25.56940269470215
31.JPEG,22.410768508911133,23.359508514404297,23.359508514404297
32.JPEG,23.07135581970215,27.90736198425293,27.90736198425293
33.JPEG,25.40677833557129,25.224536895751957,25.224536895751957
34.JPEG,27.7915096282959,24.932933807373047,24.932933807373047
35.JPEG,26.53026390075684,26.060352325439453,26.060352325439453
36.JPEG,23.53249931335449,24.36476325988769,24.36476325988769
37.JPEG,19.45331573486328,25.040599822998047,25.040599822998047
38.JPEG,28.766536712646484,22.55381774902344,22.55381774902344
39.JPEG,22.9089412689209,23.247467041015625,23.247467041015625
40.JPEG,23.894641876220703,19.701311111450195,19.701311111450195
41.JPEG,16.07187271118164,23.56814956665039,23.56814956665039
42.JPEG,20.42523956298828,24.37963104248047,24.37963104248047
43.JPEG,27.58539581298828,23.47395896911621,23.47395896911621
44.JPEG,20.17765998840332,21.135162353515625,21.135162353515625
45.JPEG,22.916154861450195,21.575267791748047,21.575267791748047
46.JPEG,21.2606143951416,24.981224060058597,24.981224060058597
47.JPEG,28.096790313720703,28.354204177856445,28.354204177856445
48.JPEG,21.79353141784668,15.474992752075195,15.474992752075195
49.JPEG,19.381065368652344,29.305986404418945,29.305986404418945
50.JPEG,28.450359344482425,24.623926162719727,24.623926162719727
51.JPEG,23.14420318603516,26.451852798461918,26.451852798461918
52.JPEG,22.65310287475586,26.88780212402344,26.88780212402344
53.JPEG,30.17951774597168,20.26755142211914,20.26755142211914
54.JPEG,10.068692207336426,26.24125099182129,26.24125099182129
55.JPEG,19.234115600585938,26.51818084716797,26.51818084716797
56.JPEG,25.24472999572754,10.93625259399414,10.93625259399414
57.JPEG,23.92489242553711,20.80751037597656,20.80751037597656
58.JPEG,19.243133544921875,21.8244743347168,21.8244743347168
59.JPEG,19.022750854492188,26.184526443481445,26.184526443481445
60.JPEG,25.346195220947266,23.110828399658203,23.110828399658203
61.JPEG,26.991945266723636,24.496374130249023,24.496374130249023
62.JPEG,30.30865859985352,25.595630645751957,25.595630645751957
63.JPEG,23.15177154541016,26.796119689941406,26.796119689941406
64.JPEG,21.75468063354492,17.447813034057617,17.447813034057617
65.JPEG,20.90462875366211,22.02162742614746,22.02162742614746
66.JPEG,22.427244186401367,22.2436637878418,22.2436637878418
67.JPEG,26.434829711914062,25.46316146850586,25.46316146850586
68.JPEG,25.90597152709961,23.792829513549805,23.792829513549805
69.JPEG,27.68393898010254,26.035266876220703,26.035266876220703
70.JPEG,26.97076797485352,22.60749626159668,22.60749626159668
71.JPEG,24.547637939453125,22.39240264892578,22.39240264892578
72.JPEG,25.88541984558105,27.59260368347168,27.59260368347168
73.JPEG,23.360183715820312,25.061506271362305,25.061506271362305
74.JPEG,26.845121383666992,25.30353164672852,25.30353164672852
75.JPEG,18.64226531982422,22.451038360595703,22.451038360595703
76.JPEG,26.18563842773437,25.202625274658203,25.202625274658203
77.JPEG,25.0570068359375,25.783042907714844,25.783042907714844
78.JPEG,27.04728126525879,33.184783935546875,33.184783935546875
79.JPEG,26.183698654174805,27.38113021850586,27.38113021850586
80.JPEG,23.85944366455078,26.09235382080078,26.09235382080078
81.JPEG,24.9924430847168,19.089677810668945,19.089677810668945
82.JPEG,22.812664031982425,28.019079208374023,28.019079208374023
83.JPEG,21.920238494873047,22.807573318481445,22.807573318481445
84.JPEG,25.07194328308105,28.07760238647461,28.07760238647461
85.JPEG,21.75312614440918,25.868867874145508,25.868867874145508
86.JPEG,26.626087188720703,27.27198028564453,27.27198028564453
